IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.16.109.193,142,177,152,0
104.16.15.182,144,176,154,0
104.18.39.86,146,168,154,0
162.159.60.102,143,186,157,0
104.19.203.26,153,170,159,0
162.159.45.149,150,177,159,0
104.17.74.241,142,199,160,0
104.19.190.66,151,173,160,0
104.19.244.127,149,185,160,0
104.19.156.133,144,202,160,0
162.159.248.95,149,190,161,0
104.18.119.188,152,170,161,0
104.16.204.120,149,170,161,0
104.25.70.168,148,196,161,0
104.18.12.98,144,172,161,0
104.25.107.110,146,190,161,0
104.25.141.167,147,170,161,0
162.159.247.201,150,181,161,0
162.159.207.136,154,171,161,0
162.159.252.62,149,177,161,0
104.18.113.32,151,177,161,0
104.21.228.221,151,194,162,0
104.19.169.32,141,192,162,0
104.16.114.94,151,180,162,0
104.18.115.194,150,186,162,0
172.64.154.102,144,216,162,0
104.19.243.249,152,179,162,0
104.16.16.170,153,169,163,0
104.18.43.115,147,203,163,0
198.41.219.88,148,186,163,0
104.16.212.21,152,176,163,0
104.19.247.139,153,182,163,0
104.19.240.242,149,180,163,0
104.19.167.149,146,205,163,0
104.25.71.164,147,187,164,0
104.16.203.158,152,183,164,0
104.19.157.204,143,195,164,0
104.18.80.212,143,195,164,0
104.21.238.176,154,178,164,0
104.17.124.90,152,186,164,0
104.16.11.45,150,179,164,0
104.17.119.188,150,178,164,0
104.19.140.155,151,184,164,0
104.19.174.153,144,202,164,0
104.18.66.226,151,178,164,0
104.24.84.190,147,206,164,0
104.16.105.77,151,175,164,0
172.64.228.143,83,206,165,0
104.16.92.7,152,198,165,0
104.25.204.109,143,191,165,0
104.19.138.157,158,179,165,0
104.17.1.201,149,184,165,0
104.22.31.68,148,191,165,0
104.16.209.45,153,184,165,0
104.18.30.51,152,184,165,0
104.21.236.232,149,179,165,0
104.16.120.138,153,181,165,0
104.25.69.213,145,205,165,0
104.18.122.54,154,194,165,0
104.18.20.45,151,181,166,0
104.27.111.64,148,204,166,0
104.16.208.101,150,203,166,0
198.41.205.118,147,222,166,0
172.67.23.226,150,198,166,0
104.19.137.208,153,190,166,0
172.67.69.176,145,195,166,0
104.19.254.235,153,187,166,0
104.25.42.168,153,200,166,0
104.16.113.159,162,175,166,0
104.17.37.71,141,201,166,0
162.159.244.119,152,187,166,0
162.159.2.32,148,195,166,0
104.25.233.123,145,202,166,0
104.16.197.245,153,217,166,0
104.23.137.162,152,197,166,0
104.16.211.56,149,215,167,0
104.24.78.225,142,200,167,0
104.24.64.36,156,179,167,0
104.16.182.159,148,235,167,0
104.25.98.112,143,199,167,0
104.19.182.85,155,202,167,0
104.18.26.19,150,182,167,0
104.17.180.214,153,209,167,0
104.17.91.73,153,216,167,0
104.17.146.89,153,201,167,0
104.23.134.227,153,197,167,0
104.18.175.138,153,198,167,0
198.41.192.178,152,221,167,0
162.159.253.112,156,183,167,0
104.18.36.85,148,194,167,0
104.19.131.114,157,189,167,0
104.22.8.148,152,195,168,0
104.19.191.168,149,226,168,0
104.16.119.119,159,200,168,0
104.16.136.115,149,184,168,0
104.19.249.79,161,176,168,0
104.18.25.127,158,174,168,0
104.17.45.27,151,192,168,0
104.17.77.128,150,221,168,0
104.25.163.70,149,216,168,0
104.19.134.177,159,188,168,0
162.159.44.157,156,178,168,0
104.17.58.42,151,190,168,0
172.64.146.65,144,194,168,0
104.18.118.30,160,189,168,0
104.19.209.254,148,235,168,0
172.67.33.15,152,198,168,0
104.17.102.102,146,192,168,0
104.17.240.233,146,249,168,0
104.16.111.86,145,228,168,0
104.16.149.143,161,179,169,0
104.18.247.251,146,241,169,0
104.16.125.17,151,191,169,0
