IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.17.55.186,156,184,164,0
104.19.239.45,154,199,166,0
104.19.159.82,153,178,167,0
104.16.197.105,157,176,167,0
104.16.126.231,156,194,167,0
104.16.240.62,155,191,169,0
104.18.190.104,154,193,169,0
104.16.38.33,155,192,169,0
104.18.132.238,154,194,169,0
104.16.102.71,154,197,169,0
104.16.232.143,153,188,169,0
104.17.50.1,158,181,170,0
104.18.222.127,158,193,170,0
104.16.133.145,159,201,170,0
104.16.49.49,161,186,170,0
104.18.185.190,158,183,170,0
104.16.15.97,157,188,170,0
104.19.221.125,154,197,170,0
104.16.24.37,152,197,170,0
104.17.89.62,158,183,170,0
141.101.115.240,154,183,171,0
104.17.24.216,160,190,171,0
104.18.195.243,164,189,171,0
104.21.228.108,156,203,172,0
104.17.155.183,154,207,172,0
104.19.229.69,163,195,172,0
104.17.45.121,162,182,172,0
104.19.209.139,153,197,172,0
104.16.174.151,158,192,172,0
104.17.198.59,158,188,172,0
104.18.234.188,164,186,172,0
104.18.86.226,156,197,172,0
104.18.67.215,157,186,172,0
104.16.12.249,155,191,172,0
104.17.102.29,164,187,172,0
104.17.56.197,158,209,173,0
104.16.47.143,158,198,173,0
104.17.47.21,154,202,173,0
104.16.171.30,163,199,173,0
104.17.185.129,163,192,173,0
104.17.128.118,156,189,174,0
104.19.247.165,159,193,174,0
104.17.88.247,158,195,174,0
104.18.85.189,158,202,174,0
104.16.4.102,160,196,174,0
104.18.223.17,154,203,174,0
104.19.218.233,161,192,174,0
104.16.10.53,164,183,174,0
104.16.157.228,156,204,174,0
104.19.230.255,163,195,174,0
104.18.138.19,160,187,174,0
104.16.195.32,158,190,174,0
104.16.162.47,156,195,175,0
104.16.169.59,160,203,175,0
104.17.70.186,156,194,175,0
104.17.136.49,157,187,175,0
104.16.95.247,158,185,175,0
104.19.182.64,159,203,175,0
104.16.87.93,156,195,175,0
104.16.21.62,156,202,175,0
104.21.227.4,157,190,175,0
104.17.64.165,159,198,175,0
104.16.7.236,157,189,176,0
104.19.210.125,161,192,176,0
104.18.219.196,160,194,176,0
104.16.91.112,156,201,176,0
104.19.144.101,159,249,176,0
104.18.250.234,161,194,176,0
104.17.86.28,158,203,176,0
104.16.74.208,155,198,177,0
104.16.207.120,159,199,177,0
104.18.124.183,157,199,177,0
104.16.203.193,161,190,177,0
104.16.202.63,160,201,177,0
104.18.74.64,152,198,177,0
104.18.130.234,158,206,177,0
104.16.118.147,156,201,177,0
108.162.198.24,153,237,177,0
198.41.206.13,163,214,177,0
104.17.118.93,155,204,178,0
104.16.76.131,157,208,178,0
104.16.39.174,156,229,178,0
104.17.219.206,157,198,178,0
104.16.62.57,159,204,178,0
104.17.115.220,155,204,178,0
104.17.145.40,155,203,178,0
104.18.191.214,154,195,178,0
104.17.85.2,170,201,179,0
104.19.188.74,154,201,179,0
104.17.105.192,161,200,180,0
104.17.218.243,163,208,180,0
104.17.99.171,154,219,180,0
104.16.84.100,159,209,180,0
104.16.206.200,155,215,180,0
104.16.199.231,153,213,180,0
104.18.69.123,158,245,180,0
104.17.177.204,164,201,180,0
104.17.144.173,166,204,180,0
104.17.172.46,163,201,180,0
104.16.166.51,156,250,180,0
104.17.231.196,160,206,181,0
104.18.178.200,155,286,181,0
198.41.202.193,158,208,182,0
104.17.97.211,159,211,182,0
104.18.71.95,160,205,182,0
104.17.141.67,156,203,182,0
104.16.52.141,171,205,183,0
104.19.236.7,162,209,183,0
198.41.203.39,166,213,184,0
198.41.217.114,163,210,184,0
104.19.167.171,168,214,185,0
104.17.137.176,163,214,185,0
104.16.113.153,168,213,185,0
104.16.68.44,154,212,185,0
104.16.53.149,154,228,186,0
104.19.244.173,174,228,187,0
104.18.163.120,160,297,187,0
104.16.250.199,181,198,188,0
104.16.85.126,176,205,189,0
104.18.108.41,177,228,189,0
104.18.186.255,165,280,189,0
104.18.157.189,179,209,189,0
